Curso,Descricao
Programação Web,Criação de sites e aplicações online
Banco de Dados,Gerenciamento e modelagem de dados
Redes de Computadores,Instalação e manutenção de redes
Segurança da Informação,Proteção de dados e sistemas
Desenvolvimento de Jogos,Criação de jogos digitais
Design Gráfico,Criação de artes logos e materiais
Marketing Digital,Estratégias de divulgação online
Análise de Dados,Coleta e análise de dados empresariais
Suporte em TI,Atendimento e solução de problemas
Robótica,Programação e montagem de robôs
Inteligência Artificial,Desenvolvimento de IA e aprendizado
Edição de Vídeo,Criação e edição de vídeos profissionais
Administração de Empresas,Gestão de negócios e processos
Recursos Humanos,Gestão de pessoas e desenvolvimento
Logística,Gestão de estoque transporte e entrega
Gastronomia,Técnicas culinárias e gestão de cozinha
Confeitaria Profissional,Doces bolos e técnicas de confeitaria
Maquiagem Profissional,Técnicas de beleza e maquiagem
Barbearia,Cortes barba e visagismo masculino
Manicure e Pedicure,Cuidados estéticos de mãos e pés
Fotografia Digital,Técnicas de fotografia e edição
Design de Interiores,Planejamento de ambientes residenciais
Jardinagem e Paisagismo,Cuidado e design de jardins
Mecânica de Automóveis,Manutenção e conserto de veículos
Elétrica Residencial,Instalações elétricas domiciliares
Soldagem Industrial,Técnicas de solda e segurança
Cuidador de Idosos,Atendimento e cuidado a pessoas idosas
Auxiliar de Saúde Bucal,Apoio em clínicas odontológicas
Enfermagem Básica,Primeiros cuidados e procedimentos
Auxiliar Veterinário,Cuidados com animais e suporte clínico
Libras Básico,Comunicação básica na Língua de Sinais
Inglês para Atendimento,Comunicação básica no ambiente de trabalho
